string,string_id,image_mean,image_median,image_latent_mean,subfreq_mean,subfreq_median,subfreq_latent_mean
duša,1241,-0.40725328507951764,-0.056426612614760785,-0.11663709642089515,0.6288830758370301,0.6963455347561704,0.417820439485173
podij,1242,0.5927467149204824,0.9435733873852392,0.02269844284993816,-0.30445025749630306,-0.30365446524382955,-0.11584589280649382
smještaj,1243,0.02608004825381549,-0.056426612614760785,0.2657499907666052,0.6955497425036969,0.6963455347561704,0.30160178761017287
tren,1244,-0.8739199517461844,-1.0564266126147608,-0.17248417027506147,1.02888307583703,1.6963455347561704,0.2688827986518394
slika,1245,0.7122869448055398,0.9435733873852392,6.478286832716229e-4,1.3150899723887544,1.6963455347561704,0.21069542250600604
zavjera,1246,-0.6739199517461842,-1.0564266126147608,-0.05066194058756146,-0.47111692416297,-0.30365446524382955,-0.140675347389827
hod,1247,0.49274671492048183,0.9435733873852392,0.2515323278499384,0.6288830758370301,0.6963455347561704,0.33449930740183964
dno,1248,-0.0739199517461846,0.4435733873852392,-0.014169900379228384,0.8622164091703639,0.6963455347561704,0.41964337698517307
sustav,1249,-0.8739199517461844,-1.0564266126147608,-0.27432132381672814,0.8622164091703639,0.6963455347561704,0.3404295693810062
elektron,1250,0.011794333968101256,-0.056426612614760785,0.22537543076660516,-0.704450257496303,-0.8036544652438296,-0.26080779218149397
priča,1251,0.19504556549519458,-0.056426612614760785,0.1547977705582717,1.195549742503697,1.6963455347561704,0.2792226162560061
lukavstvo,1252,-0.2072532850795179,-0.056426612614760785,0.1488048662874384,-0.5044502574963032,-0.30365446524382955,-0.12480710697316066
negativnost,1253,-0.9072532850795176,-1.0564266126147608,-0.23565417381672837,0.5622164091703636,0.6963455347561704,0.43049984052683943
trenutak,1254,-0.8072532850795175,-1.0564266126147608,-0.11933075517089486,1.1622164091703637,1.6963455347561704,0.1829060852143396
masa,1255,0.29274671492048254,0.4435733873852392,0.1977573958707719,-0.17111692416296975,-0.30365446524382955,-0.009693674160660581
postupak,1256,-1.040586618412851,-1.5564266126147608,-0.18367510006672827,0.28060721376806486,-0.30365446524382955,0.2405210603185064
zbroj,1257,0.02608004825381549,-0.056426612614760785,0.15959557951660486,0.10819342066461646,0.6963455347561704,-0.08049154103566059
milostinja,1258,-0.18426477933239127,-0.056426612614760785,0.11241471045410512,-0.5814617517491767,-1.3036544652438296,-0.19345164363982725
daltonist,1259,-0.10725328507951781,-0.056426612614760785,0.1635874331624385,-0.7377835908296366,-1.3036544652438296,-0.3062488458273269
napetost,1260,-1.1072532850795178,-1.0564266126147608,-0.2347817048583951,0.42888307583703034,0.6963455347561704,0.20556553729767302
udarac,1261,0.692746714920482,0.9435733873852392,0.2296117227457719,0.46221640917036355,0.6963455347561704,0.29492905396433944
ljubaznost,1262,-0.40725328507951764,-0.056426612614760785,0.033005505558271864,0.36221640917036346,0.6963455347561704,0.22936037875600634
činjenica,1263,-0.8072532850795175,-1.0564266126147608,-0.12337816433756155,0.7955497425036966,0.6963455347561704,0.38567300896433965
lonac,1264,1.026080048253816,0.9435733873852392,-0.07888333871256181,1.195549742503697,1.6963455347561704,0.342754511568506
pakao,1265,0.6594133815871488,0.9435733873852392,0.11774994993327192,0.02888307583702998,-0.30365446524382955,0.09705280479767309
usporednica,1266,-0.9739199517461845,-1.0564266126147608,-0.24773431881672847,-1.0711169241629697,-1.3036544652438296,-0.4920404247856607
stanica,1267,0.3927467149204822,0.9435733873852392,0.09634033816243859,1.1622164091703637,1.6963455347561704,0.06895252177683941
provincija,1268,0.22608004825381522,-0.056426612614760785,0.3151259755582716,-0.40445025749630314,-0.8036544652438296,-0.07692839770232718
gradić,1269,0.8260800482538158,0.9435733873852392,-0.05856927381672827,0.16221640917036328,-0.30365446524382955,0.24383644406850635
borac,1270,0.5260800482538159,0.9435733873852392,0.1364898880582719,0.5622164091703636,0.6963455347561704,0.37111464771433944
pokrov,1271,0.059413381587148706,-0.056426612614760785,0.15632327347493824,-0.3745652000250388,-0.30365446524382955,-0.16688991749399396
opasnost,1272,0.12608004825381558,-0.056426612614760785,0.3065094859749382,0.46221640917036355,0.6963455347561704,0.26555981261017303
obilježje,1273,-0.4405866184128513,-0.5564266126147608,0.007200976808271697,0.7622164091703634,0.6963455347561704,0.6358168308393397
blagost,1274,-0.8739199517461844,-1.0564266126147608,-0.14194118996256178,-0.47111692416297,-0.30365446524382955,-0.2284904850981606
seljak,1275,0.192746714920482,0.4435733873852392,0.1454325706624382,0.6955497425036969,0.6963455347561704,0.33174691958933966
predstavnica,1276,0.6594133815871488,0.9435733873852392,0.16525184764160494,-0.17111692416296975,-0.30365446524382955,-0.14043764228566058
samoupravljanje,1277,-1.0072532850795177,-1.0564266126147608,-0.20690312840006175,-1.0044502574963032,-1.3036544652438296,-0.44095481478566034
atmosfera,1278,-0.40725328507951764,-0.056426612614760785,0.04316795472493817,0.5955497425036969,0.6963455347561704,0.2993395977143396
biće,1279,-0.2072532850795179,-0.056426612614760785,0.021241242849938224,0.3955497425036967,0.6963455347561704,0.2253059885476727
kuhinja,1280,0.8927467149204822,0.9435733873852392,-0.012343390170895141,1.6622164091703637,1.6963455347561704,-0.04082796228566066
simbol,1281,0.1594133815871488,0.4435733873852392,0.022568217120771727,0.46221640917036355,0.6963455347561704,0.32966070771433964
relaksacija,1282,0.29274671492048254,-0.056426612614760785,0.22654055034993847,-0.10445025749630332,-0.30365446524382955,-0.01641411166065998
naraštaj,1283,-0.3739199517461844,-1.0564266126147608,0.0358330303499379,-0.37111692416296993,-0.30365446524382955,-0.10249013311899358
